VEMCO DATA LOG,1.0.0,vdati-2.7.2-20201124-66707c-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Index,Frequency (kHz),Decoder,PPM Map ID,HR Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Detection Type,Full ID,ID,Signal Strength (dB),Noise (dB),Quality Score,Decoder,Sensor Value,Sensor Unit
DET_FILTER_DESC,Filter Name,Details,Rejected Detections
DIAG_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise Mean (mV),Tilt (deg),Depth (m),PPM Pings,PPM Detections
DIAG_FAST_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise (mV),Tilt (deg),Depth (m)
EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Event Type,Event Details
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_VR2AR_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,VR2AR_545593_20200714_1.vrl,8a40aad5-66d4-f34f-8e7b-4a58913bfdb3,com.vemco.file.vrl.0207.ff02.ff02/5.1.1,569508,ORIGINAL
DET,2020-05-25 12:04:38.9429,2020-05-25 12:03:00.873715,,-98.069184511,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 12:14:18.1389,2020-05-25 12:12:40.06283,,-98.076069897,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 12:24:33.8389,2020-05-25 12:22:55.75551,,-98.083389235,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 12:34:02.2709,2020-05-25 12:32:24.180753,,-98.090146660,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 12:43:55.9749,2020-05-25 12:42:17.877695,,-98.097204514,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 12:54:40.6909,2020-05-25 12:53:02.586031,,-98.104868789,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 13:00:00,2020-05-25 12:58:21.891335,,-98.108664683,VR2AR-69,545593,19.442,715,8,29,48,6
TEMP,2020-05-25 13:00:00,2020-05-25 12:58:21.891335,,-98.108664683,VR2AR-69,545593,19.442,
DEPTH,2020-05-25 13:00:00,2020-05-25 12:58:21.891335,,-98.108664683,VR2AR-69,545593,29
BATTERY,2020-05-25 13:00:00,2020-05-25 12:58:21.891335,,-98.108664683,VR2AR-69,545593,PRIMARY,,,3.5955,
DET,2020-05-25 13:05:07.6229,2020-05-25 13:03:29.510578,,-98.112321652,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 13:14:58.5189,2020-05-25 13:13:20.399553,,-98.119346125,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 13:25:37.1509,2020-05-25 13:23:59.023961,,-98.126938075,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 13:35:51.9149,2020-05-25 13:34:13.780653,,-98.134246285,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 13:45:18.4749,2020-05-25 13:43:40.333918,,-98.140981457,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 13:55:08.4349,2020-05-25 13:53:30.286905,,-98.147994802,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 14:00:00,2020-05-25 13:58:21.848539,,-98.151460879,VR2AR-69,545593,19.351,712,3,28,48,6
TEMP,2020-05-25 14:00:00,2020-05-25 13:58:21.848539,,-98.151460879,VR2AR-69,545593,19.351,
DEPTH,2020-05-25 14:00:00,2020-05-25 13:58:21.848539,,-98.151460879,VR2AR-69,545593,28
BATTERY,2020-05-25 14:00:00,2020-05-25 13:58:21.848539,,-98.151460879,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-05-25 14:05:45.6629,2020-05-25 14:04:07.507329,,-98.155570062,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 14:15:57.1509,2020-05-25 14:14:18.98806,,-98.162839329,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 14:25:17.6269,2020-05-25 14:23:39.457397,,-98.169502174,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 14:34:55.4189,2020-05-25 14:33:17.242529,,-98.176370868,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 14:45:07.8429,2020-05-25 14:43:29.659248,,-98.183651262,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 14:54:29.7229,2020-05-25 14:52:51.532569,,-98.190330797,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 15:00:00,2020-05-25 14:58:21.805742,,-98.194257076,VR2AR-69,545593,18.677,727,4,27,48,6
TEMP,2020-05-25 15:00:00,2020-05-25 14:58:21.805742,,-98.194257076,VR2AR-69,545593,18.677,
DEPTH,2020-05-25 15:00:00,2020-05-25 14:58:21.805742,,-98.194257076,VR2AR-69,545593,27
BATTERY,2020-05-25 15:00:00,2020-05-25 14:58:21.805742,,-98.194257076,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-05-25 15:04:10.7909,2020-05-25 15:02:32.593661,,-98.197238436,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 15:14:30.2349,2020-05-25 15:12:52.030297,,-98.204602283,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 15:24:06.6229,2020-05-25 15:22:28.411445,,-98.211454287,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 15:34:16.2389,2020-05-25 15:32:38.020198,,-98.218701300,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 15:43:32.9709,2020-05-25 15:41:54.74558,,-98.225319636,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 15:53:03.7429,2020-05-25 15:51:25.510795,,-98.232104878,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 16:00:00,2020-05-25 15:58:21.762946,,-98.237053273,VR2AR-69,545593,18.677,732,7,27,48,6
TEMP,2020-05-25 16:00:00,2020-05-25 15:58:21.762946,,-98.237053273,VR2AR-69,545593,18.677,
DEPTH,2020-05-25 16:00:00,2020-05-25 15:58:21.762946,,-98.237053273,VR2AR-69,545593,27
BATTERY,2020-05-25 16:00:00,2020-05-25 15:58:21.762946,,-98.237053273,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-05-25 16:03:02.1269,2020-05-25 16:01:23.887681,,-98.239218367,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 16:13:55.7349,2020-05-25 16:12:17.487911,,-98.246988350,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 16:24:40.4509,2020-05-25 16:23:02.196247,,-98.254652626,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 16:35:07.3829,2020-05-25 16:33:29.120794,,-98.262105488,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 16:44:58.7469,2020-05-25 16:43:20.477764,,-98.269135524,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 16:55:38.7829,2020-05-25 16:54:00.506155,,-98.276744165,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 17:00:00,2020-05-25 16:58:21.72015,,-98.279849470,VR2AR-69,545593,18.744,712,11,28,48,6
TEMP,2020-05-25 17:00:00,2020-05-25 16:58:21.72015,,-98.279849470,VR2AR-69,545593,18.744,
DEPTH,2020-05-25 17:00:00,2020-05-25 16:58:21.72015,,-98.279849470,VR2AR-69,545593,28
BATTERY,2020-05-25 17:00:00,2020-05-25 16:58:21.72015,,-98.279849470,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-05-25 17:05:55.8869,2020-05-25 17:04:17.602819,,-98.284080194,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 17:15:27.1269,2020-05-25 17:13:48.836029,,-98.290871,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 17:25:26.4469,2020-05-25 17:23:48.148904,,-98.297995615,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 17:36:22.3949,2020-05-25 17:34:44.089106,,-98.305793415,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 17:47:11.3229,2020-05-25 17:45:33.009392,,-98.313507762,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 17:57:46.6789,2020-05-25 17:56:08.357839,,-98.321060768,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 18:00:00,2020-05-25 17:58:21.677354,,-98.322645667,VR2AR-69,545593,18.342,703,5,27,48,6
TEMP,2020-05-25 18:00:00,2020-05-25 17:58:21.677354,,-98.322645667,VR2AR-69,545593,18.342,
DEPTH,2020-05-25 18:00:00,2020-05-25 17:58:21.677354,,-98.322645667,VR2AR-69,545593,27
BATTERY,2020-05-25 18:00:00,2020-05-25 17:58:21.677354,,-98.322645667,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-05-25 18:07:54.4229,2020-05-25 18:06:16.094614,,-98.328285527,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 18:17:06.9428,2020-05-25 18:15:28.607946,,-98.334853790,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 18:26:28.8229,2020-05-25 18:24:50.481366,,-98.341533327,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 18:36:09.8908,2020-05-25 18:34:31.542359,,-98.348440965,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 18:46:29.3348,2020-05-25 18:44:50.978995,,-98.355804811,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 18:56:05.2548,2020-05-25 18:54:26.892148,,-98.362651252,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 19:00:00,2020-05-25 18:58:21.634558,,-98.365441864,VR2AR-69,545593,18.365,683,6,27,48,6
TEMP,2020-05-25 19:00:00,2020-05-25 18:58:21.634558,,-98.365441864,VR2AR-69,545593,18.365,
DEPTH,2020-05-25 19:00:00,2020-05-25 18:58:21.634558,,-98.365441864,VR2AR-69,545593,27
BATTERY,2020-05-25 19:00:00,2020-05-25 18:58:21.634558,,-98.365441864,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-05-25 19:06:14.4028,2020-05-25 19:04:36.032907,,-98.369892701,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 19:15:30.1988,2020-05-25 19:13:51.8223,,-98.376499911,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 19:24:59.0988,2020-05-25 19:23:20.715537,,-98.383262899,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 19:34:54.2068,2020-05-25 19:33:15.816462,,-98.390337444,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 19:45:41.2628,2020-05-25 19:44:02.86477,,-98.398029537,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 19:56:12.8748,2020-05-25 19:54:34.469261,,-98.405538034,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 20:00:00,2020-05-25 19:58:21.591761,,-98.408238060,VR2AR-69,545593,18.521,691,2,27,48,6
TEMP,2020-05-25 20:00:00,2020-05-25 19:58:21.591761,,-98.408238060,VR2AR-69,545593,18.521,
DEPTH,2020-05-25 20:00:00,2020-05-25 19:58:21.591761,,-98.408238060,VR2AR-69,545593,27
BATTERY,2020-05-25 20:00:00,2020-05-25 19:58:21.591761,,-98.408238060,VR2AR-69,545593,PRIMARY,,,3.5955,
DET,2020-05-25 20:06:13.5988,2020-05-25 20:04:35.18612,,-98.412679340,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 20:17:11.8868,2020-05-25 20:15:33.466295,,-98.420504957,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 20:28:05.9628,2020-05-25 20:26:27.534519,,-98.428280504,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 20:38:51.1468,2020-05-25 20:37:12.710849,,-98.435950343,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 20:49:18.5468,2020-05-25 20:47:40.103391,,-98.443408769,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 20:59:10.8468,2020-05-25 20:57:32.39635,,-98.450449932,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 21:00:00,2020-05-25 20:58:21.548965,,-98.451034258,VR2AR-69,545593,18.923,716,2,28,48,6
TEMP,2020-05-25 21:00:00,2020-05-25 20:58:21.548965,,-98.451034258,VR2AR-69,545593,18.923,
DEPTH,2020-05-25 21:00:00,2020-05-25 20:58:21.548965,,-98.451034258,VR2AR-69,545593,28
BATTERY,2020-05-25 21:00:00,2020-05-25 20:58:21.548965,,-98.451034258,VR2AR-69,545593,PRIMARY,,,3.5916,
DET,2020-05-25 21:09:52.2868,2020-05-25 21:08:13.828724,,-98.458075264,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 21:20:12.6668,2020-05-25 21:18:34.201349,,-98.465450237,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 21:29:50.4588,2020-05-25 21:28:11.986481,,-98.472318932,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 21:40:03.3508,2020-05-25 21:38:24.871195,,-98.479604889,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 21:49:26.6348,2020-05-25 21:47:48.148498,,-98.486301115,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 21:59:10.5108,2020-05-25 21:57:32.017557,,-98.493242135,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 22:00:00,2020-05-25 21:58:21.506169,,-98.493830454,VR2AR-69,545593,19.329,711,0,28,48,6
TEMP,2020-05-25 22:00:00,2020-05-25 21:58:21.506169,,-98.493830454,VR2AR-69,545593,19.329,
DEPTH,2020-05-25 22:00:00,2020-05-25 21:58:21.506169,,-98.493830454,VR2AR-69,545593,28
BATTERY,2020-05-25 22:00:00,2020-05-25 21:58:21.506169,,-98.493830454,VR2AR-69,545593,PRIMARY,,,3.5925,
DET,2020-05-25 22:09:35.5708,2020-05-25 22:07:57.070127,,-98.500672743,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 22:19:23.1908,2020-05-25 22:17:44.683141,,-98.507658272,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 22:29:55.2708,2020-05-25 22:28:16.755627,,-98.515172333,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 22:39:56.4627,2020-05-25 22:38:17.94038,,-98.522319202,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 22:50:55.6867,2020-05-25 22:49:17.156544,,-98.530155946,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-25 23:00:00,2020-05-25 22:58:21.463373,,-98.536626651,VR2AR-69,545593,19.397,712,10,27,40,5
TEMP,2020-05-25 23:00:00,2020-05-25 22:58:21.463373,,-98.536626651,VR2AR-69,545593,19.397,
DEPTH,2020-05-25 23:00:00,2020-05-25 22:58:21.463373,,-98.536626651,VR2AR-69,545593,27
BATTERY,2020-05-25 23:00:00,2020-05-25 22:58:21.463373,,-98.536626651,VR2AR-69,545593,PRIMARY,,,3.5945,
DET,2020-05-25 23:01:51.1668,2020-05-25 23:00:12.628851,,-98.537948184,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 23:12:39.1588,2020-05-25 23:11:00.613148,,-98.545651403,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 23:23:12.1747,2020-05-25 23:21:33.621523,,-98.553176590,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 23:33:15.2387,2020-05-25 23:31:36.678354,,-98.560345715,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 23:42:18.8667,2020-05-25 23:40:40.299891,,-98.566808273,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-25 23:51:22.9627,2020-05-25 23:49:44.389423,,-98.573276395,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
HEALTH_VR2AR,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,98.6151,2020-05-25 23:59:59
BATTERY,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,MOTOR,,,3.68,
DIAG,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,19.238,664,3,28,48,6
TEMP,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,19.238,
DEPTH,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,28
BATTERY,2020-05-26 00:00:00,2020-05-25 23:58:21.420577,,-98.579422848,VR2AR-69,545593,PRIMARY,,,3.5935,
DET,2020-05-26 00:00:27.9947,2020-05-25 23:58:49.414944,,-98.579755645,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:09:34.8987,2020-05-26 00:07:56.312442,,-98.586257148,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:18:45.5467,2020-05-26 00:17:06.953896,,-98.592803159,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:28:04.1507,2020-05-26 00:26:25.551256,,-98.599443750,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:37:38.1987,2020-05-26 00:35:59.592432,,-98.606267936,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:47:43.1347,2020-05-26 00:46:04.52124,,-98.613459314,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 00:56:50.5067,2020-05-26 00:55:11.886733,,-98.619966381,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-26 01:00:00,2020-05-26 00:58:21.37778,,-98.622219045,VR2AR-69,545593,19.374,658,3,28,56,7
TEMP,2020-05-26 01:00:00,2020-05-26 00:58:21.37778,,-98.622219045,VR2AR-69,545593,19.374,
DEPTH,2020-05-26 01:00:00,2020-05-26 00:58:21.37778,,-98.622219045,VR2AR-69,545593,28
BATTERY,2020-05-26 01:00:00,2020-05-26 00:58:21.37778,,-98.622219045,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-05-26 01:06:02.5588,2020-05-26 01:04:23.93227,,-98.626529083,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 01:15:23.5028,2020-05-26 01:13:44.869602,,-98.633197492,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 01:25:02.2307,2020-05-26 01:23:23.590622,,-98.640077312,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 01:35:16.9948,2020-05-26 01:33:38.347414,,-98.647385525,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 01:44:43.5548,2020-05-26 01:43:04.900679,,-98.654120695,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 01:54:33.5147,2020-05-26 01:52:54.853565,,-98.661134039,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-26 02:00:00,2020-05-26 01:58:21.334984,,-98.665015242,VR2AR-69,545593,19.329,647,5,28,48,6
TEMP,2020-05-26 02:00:00,2020-05-26 01:58:21.334984,,-98.665015242,VR2AR-69,545593,19.329,
DEPTH,2020-05-26 02:00:00,2020-05-26 01:58:21.334984,,-98.665015242,VR2AR-69,545593,28
BATTERY,2020-05-26 02:00:00,2020-05-26 01:58:21.334984,,-98.665015242,VR2AR-69,545593,PRIMARY,,,3.5955,
DET,2020-05-26 02:05:10.7427,2020-05-26 02:03:32.07399,,-98.668709299,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 02:15:22.2307,2020-05-26 02:13:43.554721,,-98.675978566,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 02:24:42.2387,2020-05-26 02:23:03.556064,,-98.682635847,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 02:34:19.5627,2020-05-26 02:32:40.873201,,-98.689498979,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 02:44:31.5187,2020-05-26 02:42:52.821926,,-98.696773809,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 02:53:52.9307,2020-05-26 02:52:14.227252,,-98.703447781,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-26 03:00:00,2020-05-26 02:58:21.292188,,-98.707811439,VR2AR-69,545593,19.216,661,5,28,48,6
TEMP,2020-05-26 03:00:00,2020-05-26 02:58:21.292188,,-98.707811439,VR2AR-69,545593,19.216,
DEPTH,2020-05-26 03:00:00,2020-05-26 02:58:21.292188,,-98.707811439,VR2AR-69,545593,28
BATTERY,2020-05-26 03:00:00,2020-05-26 02:58:21.292188,,-98.707811439,VR2AR-69,545593,PRIMARY,,,3.5955,
DET,2020-05-26 03:03:32.5947,2020-05-26 03:01:53.884361,,-98.710338729,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 03:13:48.7627,2020-05-26 03:12:10.045036,,-98.717663631,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 03:23:18.1307,2020-05-26 03:21:39.406267,,-98.724432182,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 03:33:14.1747,2020-05-26 03:31:35.443182,,-98.731517853,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 03:44:03.1027,2020-05-26 03:42:24.363467,,-98.739232201,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 03:54:37.9907,2020-05-26 03:52:59.24392,,-98.746779644,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-26 04:00:00,2020-05-26 03:58:21.249392,,-98.750607636,VR2AR-69,545593,18.946,668,9,28,48,6
TEMP,2020-05-26 04:00:00,2020-05-26 03:58:21.249392,,-98.750607636,VR2AR-69,545593,18.946,
DEPTH,2020-05-26 04:00:00,2020-05-26 03:58:21.249392,,-98.750607636,VR2AR-69,545593,28
BATTERY,2020-05-26 04:00:00,2020-05-26 03:58:21.249392,,-98.750607636,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-05-26 04:04:45.2667,2020-05-26 04:03:06.512701,,-98.753998839,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 04:13:57.3187,2020-05-26 04:12:18.558138,,-98.760561541,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 04:23:18.2627,2020-05-26 04:21:39.49547,,-98.767229949,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 04:32:57.4587,2020-05-26 04:31:18.684584,,-98.774115334,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 04:43:13.1587,2020-05-26 04:41:34.377265,,-98.781434673,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-05-26 04:52:41.5907,2020-05-26 04:51:02.802507,,-98.788192097,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-05-26 05:00:00,2020-05-26 04:58:21.206596,,-98.793403833,VR2AR-69,545593,18.811,665,4,27,48,6
TEMP,2020-05-26 05:00:00,2020-05-26 04:58:21.206596,,-98.793403833,VR2AR-69,545593,18.811,
