VEMCO DATA LOG,1.0.0,vdati-2.7.2-20201124-66707c-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Index,Frequency (kHz),Decoder,PPM Map ID,HR Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Detection Type,Full ID,ID,Signal Strength (dB),Noise (dB),Quality Score,Decoder,Sensor Value,Sensor Unit
DET_FILTER_DESC,Filter Name,Details,Rejected Detections
DIAG_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise Mean (mV),Tilt (deg),Depth (m),PPM Pings,PPM Detections
DIAG_FAST_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise (mV),Tilt (deg),Depth (m)
EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Event Type,Event Details
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_VR2AR_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,VR2AR_545593_20200714_1.vrl,8a40aad5-66d4-f34f-8e7b-4a58913bfdb3,com.vemco.file.vrl.0207.ff02.ff02/5.1.1,569508,ORIGINAL
DET,2020-02-20 04:16:00.9721,2020-02-20 04:16:00.812506,,-0.159593820,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 04:25:35.9561,2020-02-20 04:25:35.78967,,-0.166429133,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 04:35:43.2321,2020-02-20 04:35:43.058451,,-0.173648329,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 04:44:54.816,2020-02-20 04:44:54.635794,,-0.180205466,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 04:54:14.824,2020-02-20 04:54:14.637137,,-0.186862747,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 05:00:00,2020-02-20 04:59:59.809033,,-0.190966141,VR2AR-69,545593,22.292,224,37,0,48,6
TEMP,2020-02-20 05:00:00,2020-02-20 04:59:59.809033,,-0.190966141,VR2AR-69,545593,22.292,
DEPTH,2020-02-20 05:00:00,2020-02-20 04:59:59.809033,,-0.190966141,VR2AR-69,545593,0
BATTERY,2020-02-20 05:00:00,2020-02-20 04:59:59.809033,,-0.190966141,VR2AR-69,545593,PRIMARY,,,3.6071,
DET,2020-02-20 05:03:52.148,2020-02-20 05:03:51.954274,,-0.193725878,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 05:14:03.6361,2020-02-20 05:14:03.435104,,-0.200995146,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 05:23:24.112,2020-02-20 05:23:23.904342,,-0.207657990,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 05:33:02.372,2020-02-20 05:33:02.157467,,-0.214532248,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 05:43:15.732,2020-02-20 05:43:15.510176,,-0.221823769,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 05:52:39.952,2020-02-20 05:52:39.723468,,-0.228531121,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 06:00:00,2020-02-20 05:59:59.766237,,-0.233762338,VR2AR-69,545593,22.292,206,37,0,48,6
TEMP,2020-02-20 06:00:00,2020-02-20 05:59:59.766237,,-0.233762338,VR2AR-69,545593,22.292,
DEPTH,2020-02-20 06:00:00,2020-02-20 05:59:59.766237,,-0.233762338,VR2AR-69,545593,0
BATTERY,2020-02-20 06:00:00,2020-02-20 05:59:59.766237,,-0.233762338,VR2AR-69,545593,PRIMARY,,,3.6081,
DET,2020-02-20 06:02:25.232,2020-02-20 06:02:24.996511,,-0.235488832,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 06:12:52.632,2020-02-20 06:12:52.389052,,-0.242947258,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 06:22:44.464,2020-02-20 06:22:44.214017,,-0.249982858,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 06:33:24.968,2020-02-20 06:33:24.710402,,-0.257597062,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 06:43:43.008,2020-02-20 06:43:42.743055,,-0.264944218,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 06:53:16.12,2020-02-20 06:53:15.848242,,-0.271757277,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 07:00:00,2020-02-20 06:59:59.723441,,-0.276558535,VR2AR-69,545593,22.292,191,37,0,48,6
TEMP,2020-02-20 07:00:00,2020-02-20 06:59:59.723441,,-0.276558535,VR2AR-69,545593,22.292,
DEPTH,2020-02-20 07:00:00,2020-02-20 06:59:59.723441,,-0.276558535,VR2AR-69,545593,0
BATTERY,2020-02-20 07:00:00,2020-02-20 06:59:59.723441,,-0.276558535,VR2AR-69,545593,PRIMARY,,,3.6081,
DET,2020-02-20 07:03:19.652,2020-02-20 07:03:19.373068,,-0.278931965,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:12:23.748,2020-02-20 07:12:23.462599,,-0.285400087,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:21:28.78,2020-02-20 07:21:28.48812,,-0.291879336,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:30:35.684,2020-02-20 07:30:35.385619,,-0.298380839,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:39:46.8,2020-02-20 07:39:46.495067,,-0.304932414,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:49:06.34,2020-02-20 07:49:06.028415,,-0.311584132,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 07:58:42.728,2020-02-20 07:58:42.409563,,-0.318436136,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 08:00:00,2020-02-20 07:59:59.680645,,-0.319354732,VR2AR-69,545593,22.316,194,37,0,56,7
TEMP,2020-02-20 08:00:00,2020-02-20 07:59:59.680645,,-0.319354732,VR2AR-69,545593,22.316,
DEPTH,2020-02-20 08:00:00,2020-02-20 07:59:59.680645,,-0.319354732,VR2AR-69,545593,0
BATTERY,2020-02-20 08:00:00,2020-02-20 07:59:59.680645,,-0.319354732,VR2AR-69,545593,PRIMARY,,,3.6071,
DET,2020-02-20 08:08:52.812,2020-02-20 08:08:52.486311,,-0.325688712,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 08:18:10.012,2020-02-20 08:18:09.679687,,-0.332312612,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 08:27:41.252,2020-02-20 08:27:40.912896,,-0.339103418,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 08:37:41.04,2020-02-20 08:37:40.693766,,-0.346233597,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 08:48:37.924,2020-02-20 08:48:37.569957,,-0.354042524,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 08:59:28.7239,2020-02-20 08:59:28.36212,,-0.361779124,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 09:00:00,2020-02-20 08:59:59.637849,,-0.362150929,VR2AR-69,545593,22.364,189,37,0,48,6
TEMP,2020-02-20 09:00:00,2020-02-20 08:59:59.637849,,-0.362150929,VR2AR-69,545593,22.364,
DEPTH,2020-02-20 09:00:00,2020-02-20 08:59:59.637849,,-0.362150929,VR2AR-69,545593,0
BATTERY,2020-02-20 09:00:00,2020-02-20 08:59:59.637849,,-0.362150929,VR2AR-69,545593,PRIMARY,,,3.6081,
DET,2020-02-20 09:10:07.8239,2020-02-20 09:10:07.454523,,-0.369376638,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 09:20:23.5239,2020-02-20 09:20:23.147204,,-0.376695976,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 09:29:51.9559,2020-02-20 09:29:51.572446,,-0.383453401,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 09:39:46.1279,2020-02-20 09:39:45.737383,,-0.390516818,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 09:50:31.3119,2020-02-20 09:50:30.913713,,-0.398186657,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 10:00:00,2020-02-20 09:59:59.595052,,-0.404947126,VR2AR-69,545593,22.531,189,37,0,40,5
TEMP,2020-02-20 10:00:00,2020-02-20 09:59:59.595052,,-0.404947126,VR2AR-69,545593,22.531,
DEPTH,2020-02-20 10:00:00,2020-02-20 09:59:59.595052,,-0.404947126,VR2AR-69,545593,0
BATTERY,2020-02-20 10:00:00,2020-02-20 09:59:59.595052,,-0.404947126,VR2AR-69,545593,PRIMARY,,,3.609,
DET,2020-02-20 10:00:58.7119,2020-02-20 10:00:58.306254,,-0.405645083,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 10:10:50.5439,2020-02-20 10:10:50.131219,,-0.412680683,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 10:21:31.0479,2020-02-20 10:21:30.627605,,-0.420294887,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 10:31:49.0879,2020-02-20 10:31:48.660257,,-0.427642043,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 10:41:22.1999,2020-02-20 10:41:21.765444,,-0.434455103,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 10:51:25.2639,2020-02-20 10:51:24.822275,,-0.441624226,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 11:00:00,2020-02-20 10:59:59.552256,,-0.447743323,VR2AR-69,545593,22.555,189,37,0,48,6
TEMP,2020-02-20 11:00:00,2020-02-20 10:59:59.552256,,-0.447743323,VR2AR-69,545593,22.555,
DEPTH,2020-02-20 11:00:00,2020-02-20 10:59:59.552256,,-0.447743323,VR2AR-69,545593,0
BATTERY,2020-02-20 11:00:00,2020-02-20 10:59:59.552256,,-0.447743323,VR2AR-69,545593,PRIMARY,,,3.609,
DET,2020-02-20 11:00:28.8919,2020-02-20 11:00:28.443813,,-0.448086785,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 11:09:33.4559,2020-02-20 11:09:33.001339,,-0.454560471,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 11:18:39.8919,2020-02-20 11:18:39.430843,,-0.461056410,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
